feature,category,description,example,how_to_model,Human notes,EmoWOZ,EmpatheticDialogues,MELD,DailyDialog,IEMOCAP,EmoContext,GoEmotions,MultiWOZ,SGD,Taskmaster-1,ABCD,Ubuntu,SimDial,DSTC9_Track1,K-EmoCon,valid_dataset,modeled_literature
alignment_failures,dialogue,Breakdowns in shared context or goals,User: 'Forget it. This isn’t working',Compute topic/goal alignment using intent + slot coverage overlap; low overlap over several turns ⇒ alignment failure.,Ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,
reply_time_gap,user_behavior,Time between user's replies,20 second delay between turns,Cannot be modeled from text history alone; requires message timestamps to compute inter-reply intervals.,—,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,MELD,
escalation_request,user_behavior,User explicitly asks for escalation or help,'Let me talk to support',"Text classification of escalation phrases ('talk to human', 'agent', 'escalate'); binary flag with recency weighting.",Ok,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,
help_button_usage,user_behavior,User interaction with help features,Clicks 'Need help?' button,Cannot be modeled from text history alone; requires UI telemetry/clickstream for help button events.,—,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
session_dropout,user_behavior,User exits before completing task,"User leaves after 6 turns, no goal reached",Cannot be modeled from text history alone; needs session end state or abandonment logs.,—,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
typing_speed_change,user_behavior,Variation in typing speed during dialogue,"Initial typing fast, then slows down",Cannot be modeled from text history alone; requires keystroke/timestamp telemetry to estimate characters per second.,—,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
re_entry_behavior,user_behavior,User leaves and re-enters session,User closes app and reopens later,Cannot be modeled from text history alone; needs session/user IDs and session start times to detect re-entries.,—,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,IEMOCAP,
negative_feedback,user_behavior,Explicit negative feedback provided,Thumbs down or negative comment,From text if user explicitly complains/rates; otherwise requires UI rating/feedback telemetry.,Ok,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,
task_complexity,contextual,Estimated complexity of the task,Flight booking with multiple dependencies,Estimate via dialog state: number of required slots/subtasks remaining; classify task difficulty from schema; or learn a complexity regressor.,"Ok, but how can model it?",yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,EmoWOZ,
goal_completion_status,contextual,Whether the user is making progress toward their goal,Bot provides correct city after 5 turns,"From dialog state tracking: proportion of required slots filled or goal conditions met; proxy via success statements in text ('got it', 'done').",Nice.,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,EmoWOZ,
time_on_task,contextual,Elapsed time since task began,User still active after 10 minutes,Cannot be modeled from text history alone; requires timestamps to accumulate active duration.,#messages,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,MELD,
subgoal_block_count,contextual,Number of blocked subtasks,Cannot add item → cannot pay → cannot confirm,"Count blocked events inferred from phrases ('can't', 'error') or from system error codes; accumulate unique blocked subgoals.",ok,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,EmoWOZ,
expressed_urgency,contextual,User states urgency or deadline,'I need this done now!',"Urgency lexicon + classifier ('ASAP', 'now', 'urgent'); combine with time expressions; output probability.",ok,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,
device_context,contextual,"Device type (e.g., mobile, desktop)",Mobile vs desktop interface,Cannot be reliably modeled from text unless stated ('on my phone'); prefer client/device metadata.,ok,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,
emotion_drift,emotion_dynamics,Shift in emotion over time,Joy → Neutral → Confused → Angry,Run per-turn emotion classifier; compute vector difference between consecutive turns; summarize with slope and cumulative shift.,ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Zuters & Leonova (2020) predict change of frustration intensity turn-to-turn. Majumder et al. (2019) detect emotion dynamics including anger/frustration classes through DialogueRNN. Ghosal et al. (2019) model emotion transitions using DialogueGCN.
emotion_volatility,emotion_dynamics,Sudden changes in emotional state,User jumps from happy to furious in 2 turns,Compute variance/entropy over emotion probabilities across last N turns; high variance ⇒ volatility.,ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Zuters & Leonova (2022) model turn-level frustration volatility across languages. Survey on Emotion Recognition in Conversations (MDPI 2023) covers emotion volatility and transitions. Fourier GNN MERC (2025 AAAI) models emotion volatility and transitions.
frustration_delay,emotion_dynamics,Delay between problem and frustration expression,"Issue reported at turn 2, anger at turn 6",Detect first obstacle mention time vs first high-probability frustration/anger label; turn difference is the delay.,ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Not found in literature
personality_traits,user_model,"Inferred personality traits (e.g., neuroticism)",High neuroticism inferred from past chats,Infer Big Five from long-term text using pretrained personality models (requires sufficient history across sessions). Use with uncertainty.,ok,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,IEMOCAP,Peng et al. (2024) predict personality from task-oriented and open-domain dialogue as related factors for user satisfaction. Zhang et al. (2025) study user personality influence on task-oriented dialogue performance and satisfaction.
trust_in_system,user_model,User's level of trust in the system,User asks 'Are you sure?' frequently,"Proxy via acceptance/resistance patterns: counts of challenges ('are you sure?'), refusals, compliance. Optionally include historical success rates (needs logs).",ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Zhang et al. (2025) develop visual analytics for user trust dynamics in conversational agents. Siro et al. (2022) understand user satisfaction with conversational recommenders including trust dimensions.
frustration_tolerance,user_model,Inferred frustration baseline from history,Past 3 sessions show early dropout,Estimate from history: average number of failures/confirmations tolerated before escalation or dropout (needs cross-session logs).,—-,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,IEMOCAP,Not found in literature
bot_confidence_score,system,Bot's NLU confidence in understanding,Intent confidence: 0.45,Cannot be modeled from text history alone; requires NLU/NLG internal confidence values from the system.,—-,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,none,Ultes et al. (2017) use ASR/NLU confidence scores as features for domain-independent user satisfaction reward estimation in dialogue policy.
response_latency,system,Time taken for system to respond,Bot replies after 5.2 seconds,Cannot be modeled from text history alone; requires server/client timestamps to measure response time.,—-,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,MELD,Choi et al. (2020) predict user satisfaction using timing features including response latency. Azaria et al. (2023) study opposing effects of response time in human-chatbot interaction on user satisfaction.
response_clarity,system,Ambiguity or clarity of bot's response,Bot reply: 'Maybe try that again?',Train a response clarity/ambiguity classifier (or readability metrics + NLI consistency). Use low confidence as higher ambiguity.,ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Ramesh et al. (2020) estimate joint turn- and dialogue-level user satisfaction on multi-domain conversations including turn-level response quality. Bodigutla et al. (2019) evaluate multi-domain dialogue quality via user satisfaction estimation including response quality features.
response_relevance,system,Relevance of system response to user query,User: 'That’s not what I asked for',Compute semantic similarity (embeddings) and NLI entailment between user request and system reply; low similarity/contradiction ⇒ low relevance.,ok,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,EmoWOZ,Sandbank et al. (2017) detect egregious conversations between customers and virtual agents including agent mismatch patterns and low response relevance as indicators of negative interactions.
